date;heure;PM10;NO2
;;microg/m3;microg/m3
15/03/2011;18;n/d;n/d
15/03/2011;19;n/d;n/d
15/03/2011;20;n/d;n/d
15/03/2011;21;n/d;n/d
15/03/2011;22;n/d;n/d
15/03/2011;23;n/d;n/d
15/03/2011;24;n/d;n/d
16/03/2011;1;n/d;n/d
16/03/2011;2;n/d;n/d
16/03/2011;3;n/d;n/d
16/03/2011;4;n/d;n/d
16/03/2011;5;n/d;n/d
16/03/2011;6;n/d;n/d
16/03/2011;7;n/d;n/d
16/03/2011;8;n/d;n/d
16/03/2011;9;n/d;n/d
16/03/2011;10;n/d;n/d
16/03/2011;11;n/d;n/d
16/03/2011;12;n/d;n/d
16/03/2011;13;n/d;n/d
16/03/2011;14;n/d;n/d
16/03/2011;15;n/d;n/d
16/03/2011;16;n/d;n/d
16/03/2011;17;n/d;n/d
16/03/2011;18;n/d;n/d
16/03/2011;19;n/d;n/d
16/03/2011;20;n/d;n/d
16/03/2011;21;n/d;n/d
16/03/2011;22;n/d;n/d
16/03/2011;23;n/d;n/d
16/03/2011;24;n/d;n/d
17/03/2011;1;n/d;n/d
17/03/2011;2;n/d;n/d
17/03/2011;3;n/d;n/d
17/03/2011;4;n/d;n/d
17/03/2011;5;n/d;n/d
17/03/2011;6;n/d;n/d
17/03/2011;7;n/d;n/d
17/03/2011;8;n/d;n/d
17/03/2011;9;n/d;n/d
17/03/2011;10;n/d;n/d
17/03/2011;11;n/d;n/d
17/03/2011;12;n/d;n/d
17/03/2011;13;n/d;n/d
17/03/2011;14;n/d;n/d
17/03/2011;15;n/d;n/d
17/03/2011;16;n/d;n/d
17/03/2011;17;n/d;n/d
17/03/2011;18;n/d;n/d
17/03/2011;19;n/d;n/d
17/03/2011;20;n/d;n/d
17/03/2011;21;n/d;n/d
17/03/2011;22;n/d;n/d
17/03/2011;23;n/d;n/d
17/03/2011;24;n/d;n/d
18/03/2011;1;n/d;n/d
18/03/2011;2;n/d;n/d
18/03/2011;3;n/d;n/d
18/03/2011;4;n/d;n/d
18/03/2011;5;n/d;n/d
18/03/2011;6;n/d;n/d
18/03/2011;7;n/d;n/d
18/03/2011;8;n/d;n/d
18/03/2011;9;n/d;n/d
18/03/2011;10;n/d;n/d
18/03/2011;11;n/d;n/d
18/03/2011;12;n/d;n/d
18/03/2011;13;n/d;n/d
18/03/2011;14;n/d;n/d
18/03/2011;15;n/d;n/d
18/03/2011;16;n/d;n/d
18/03/2011;17;n/d;n/d
18/03/2011;18;n/d;n/d
18/03/2011;19;n/d;n/d
18/03/2011;20;n/d;n/d
18/03/2011;21;n/d;n/d
18/03/2011;22;n/d;n/d
18/03/2011;23;n/d;n/d
18/03/2011;24;n/d;n/d
19/03/2011;1;n/d;n/d
19/03/2011;2;n/d;n/d
19/03/2011;3;n/d;n/d
19/03/2011;4;n/d;n/d
19/03/2011;5;n/d;n/d
19/03/2011;6;n/d;n/d
19/03/2011;7;n/d;n/d
19/03/2011;8;n/d;n/d
19/03/2011;9;n/d;n/d
19/03/2011;10;n/d;n/d
19/03/2011;11;n/d;n/d
19/03/2011;12;n/d;n/d
19/03/2011;13;n/d;n/d
19/03/2011;14;n/d;n/d
19/03/2011;15;n/d;n/d
19/03/2011;16;n/d;n/d
